iter	Passed	Remaining
0	156	156031
1	159	79800
2	163	54256
3	166	41384
4	169	33814
5	172	28645
6	175	24959
7	178	22180
8	181	20028
9	184	18288
10	187	16885
11	190	15715
12	194	14748
13	197	13900
14	200	13144
15	203	12493
16	206	11911
17	209	11411
18	212	10948
19	215	10538
20	217	10159
21	220	9815
22	223	9502
23	226	9219
24	229	8955
25	232	8707
26	235	8486
27	238	8275
28	241	8073
29	243	7884
30	246	7710
31	249	7545
32	252	7389
33	254	7242
34	257	7101
35	260	6971
36	263	6853
37	266	6737
38	269	6628
39	271	6524
40	274	6428
41	277	6332
42	280	6239
43	283	6152
44	285	6067
45	288	5991
46	291	5915
47	294	5839
48	297	5767
49	300	5701
50	302	5637
51	305	5571
52	308	5508
53	311	5448
54	314	5395
55	316	5341
56	319	5285
57	322	5235
58	325	5186
59	328	5141
60	331	5095
61	333	5051
62	336	5006
63	339	4963
64	342	4925
65	345	4885
66	348	4847
67	351	4811
68	353	4773
69	356	4737
70	359	4704
71	362	4668
72	365	4635
73	368	4608
74	371	4577
75	373	4545
76	376	4515
77	379	4485
78	382	4456
79	385	4429
80	388	4403
81	391	4380
82	394	4355
83	397	4332
84	400	4309
85	403	4283
86	405	4260
87	408	4237
88	411	4214
89	414	4191
90	417	4170
91	420	4149
92	423	4129
93	426	4108
94	428	4086
95	431	4066
96	434	4045
97	437	4028
98	440	4009
99	443	3989
100	446	3971
101	448	3952
102	451	3935
103	454	3919
104	457	3902
105	460	3883
106	463	3866
107	466	3849
108	468	3831
109	471	3814
110	474	3797
111	477	3782
112	479	3766
113	482	3750
114	485	3735
115	488	3720
116	491	3705
117	493	3690
118	496	3675
119	499	3660
120	502	3647
121	504	3632
122	507	3618
123	510	3604
124	512	3590
125	515	3576
126	518	3564
127	521	3555
128	524	3543
129	527	3530
130	530	3518
131	533	3506
132	535	3493
133	538	3480
134	541	3468
135	544	3458
136	547	3446
137	549	3435
138	552	3423
139	555	3412
140	558	3402
141	561	3391
142	563	3379
143	566	3368
144	569	3356
145	572	3346
146	575	3337
147	577	3326
148	580	3317
149	583	3307
150	586	3297
151	589	3287
152	591	3275
153	594	3265
154	597	3255
155	600	3246
156	602	3237
157	605	3228
158	608	3217
159	611	3209
160	614	3200
161	617	3192
162	619	3182
163	622	3173
164	625	3164
165	628	3155
166	630	3146
167	633	3138
168	636	3129
169	639	3121
170	641	3112
171	644	3102
172	647	3094
173	650	3087
174	653	3079
175	656	3072
176	659	3065
177	662	3057
178	665	3050
179	667	3042
180	670	3035
181	673	3026
182	676	3018
183	679	3011
184	681	3004
185	684	2996
186	687	2988
187	690	2981
188	692	2973
189	695	2966
190	698	2959
191	701	2951
192	704	2944
193	707	2937
194	709	2930
195	712	2923
196	715	2917
197	718	2910
198	721	2904
199	724	2898
200	727	2891
201	730	2885
202	733	2878
203	735	2871
204	738	2865
205	741	2858
206	744	2852
207	747	2845
208	750	2839
209	753	2833
210	756	2828
211	759	2821
212	762	2815
213	765	2809
214	767	2803
215	770	2797
216	773	2790
217	776	2784
218	779	2778
219	781	2772
220	784	2765
221	787	2759
222	790	2753
223	793	2747
224	796	2742
225	799	2736
226	801	2731
227	804	2725
228	807	2719
229	810	2713
230	813	2708
231	816	2702
232	819	2696
233	821	2690
234	824	2685
235	827	2679
236	830	2673
237	833	2667
238	835	2661
239	838	2655
240	841	2649
241	843	2642
242	846	2637
243	849	2631
244	852	2625
245	854	2619
246	857	2613
247	860	2608
248	863	2603
249	866	2598
250	869	2593
251	871	2587
252	874	2582
253	877	2577
254	880	2572
255	883	2566
256	885	2561
257	888	2555
258	891	2550
259	894	2545
260	897	2540
261	900	2535
262	902	2529
263	905	2524
264	908	2519
265	911	2513
266	913	2508
267	916	2503
268	919	2498
269	922	2493
270	925	2488
271	928	2484
272	931	2479
273	933	2474
274	936	2469
275	939	2465
276	942	2461
277	945	2456
278	948	2451
279	951	2446
280	954	2442
281	957	2437
282	960	2432
283	963	2428
284	966	2423
285	969	2419
286	972	2415
287	974	2410
288	977	2405
289	980	2400
290	983	2396
291	986	2392
292	989	2387
293	992	2383
294	995	2378
295	998	2373
296	1000	2369
297	1003	2365
298	1006	2360
299	1009	2356
300	1012	2352
301	1015	2347
302	1018	2343
303	1021	2338
304	1024	2333
305	1027	2330
306	1030	2325
307	1033	2322
308	1037	2319
309	1040	2315
310	1043	2312
311	1046	2308
312	1049	2304
313	1052	2299
314	1055	2295
315	1058	2292
316	1061	2288
317	1064	2283
318	1067	2279
319	1071	2277
320	1074	2273
321	1078	2269
322	1080	2264
323	1083	2260
324	1086	2255
325	1088	2251
326	1091	2246
327	1094	2242
328	1097	2238
329	1100	2233
330	1103	2229
331	1105	2225
332	1108	2220
333	1111	2216
334	1114	2212
335	1117	2207
336	1119	2203
337	1122	2199
338	1125	2195
339	1128	2191
340	1131	2186
341	1134	2182
342	1136	2177
343	1139	2173
344	1142	2168
345	1145	2164
346	1148	2160
347	1151	2156
348	1153	2152
349	1156	2148
350	1159	2143
351	1161	2138
352	1164	2134
353	1167	2130
354	1170	2125
355	1172	2121
356	1175	2117
357	1178	2113
358	1181	2108
359	1184	2104
360	1186	2100
361	1189	2096
362	1192	2092
363	1194	2087
364	1197	2083
365	1200	2079
366	1203	2075
367	1206	2071
368	1208	2067
369	1211	2062
370	1214	2058
371	1217	2054
372	1219	2050
373	1222	2046
374	1225	2042
375	1228	2038
376	1230	2034
377	1233	2030
378	1236	2026
379	1239	2022
380	1242	2017
381	1244	2014
382	1247	2009
383	1250	2005
384	1252	2001
385	1255	1996
386	1258	1992
387	1261	1989
388	1264	1985
389	1266	1981
390	1269	1977
391	1272	1973
392	1275	1969
393	1277	1964
394	1280	1960
395	1282	1956
396	1285	1953
397	1288	1949
398	1291	1945
399	1294	1941
400	1297	1937
401	1299	1933
402	1302	1929
403	1305	1925
404	1308	1922
405	1310	1917
406	1313	1914
407	1316	1910
408	1319	1906
409	1322	1902
410	1325	1898
411	1327	1895
412	1330	1891
413	1333	1888
414	1336	1884
415	1339	1880
416	1342	1876
417	1345	1873
418	1347	1869
419	1350	1865
420	1353	1861
421	1356	1857
422	1359	1854
423	1361	1850
424	1364	1846
425	1367	1842
426	1370	1838
427	1373	1835
428	1375	1831
429	1378	1827
430	1381	1824
431	1384	1820
432	1387	1816
433	1390	1812
434	1392	1809
435	1396	1805
436	1398	1802
437	1401	1798
438	1404	1795
439	1407	1791
440	1410	1787
441	1412	1783
442	1415	1780
443	1418	1776
444	1421	1773
445	1424	1769
446	1427	1766
447	1430	1762
448	1433	1758
449	1436	1755
450	1438	1751
451	1441	1748
452	1444	1744
453	1447	1740
454	1450	1737
455	1453	1733
456	1456	1730
457	1459	1726
458	1462	1723
459	1465	1720
460	1468	1716
461	1471	1713
462	1474	1710
463	1477	1707
464	1480	1703
465	1483	1700
466	1486	1696
467	1489	1693
468	1492	1690
469	1495	1686
470	1498	1683
471	1501	1679
472	1504	1676
473	1507	1672
474	1510	1669
475	1513	1666
476	1516	1662
477	1519	1659
478	1522	1655
479	1525	1652
480	1527	1648
